"plz","note","einwohner","qkm","Durchschnittsalter der Bevölkerung","Siedlungsdichte in km²","Studierende je 100 Einwohner 18 bis 25 Jahre","Gesamtwanderungssaldo","Haushalte mit hohem Einkommen","Erreichbarkeit von Oberzentren","Bevölkerung gesamt"
"21493","21493 Schwarzenbek u.a.",19610,98.154707,43.73,705.24,0,-0.11,27.24,32.67,9091
"21516","21516 Woltersdorf, Müssen u.a.",2045,33.736762,43.73,705.24,0,-0.11,27.24,32.67,9091
"21527","21527 Kollow",589,6.315968,43.73,705.24,0,-0.11,27.24,32.67,9091
"22958","22958 Kuddewörde",1345,7.309978,43.73,705.24,0,-0.11,27.24,32.67,9091
"21524","21524 Brunstorf",651,13.658963,43.73,705.24,0,-0.11,27.24,32.67,9091
"23898","23898 Sandesneben u.a.",5374,56.283277,42.42,1020.3,0,2.07,21.35,29.49,15000
"22959","22959 Linau",1186,9.730531,42.42,1020.3,0,2.07,21.35,29.49,15000
"23896","23896 Nusse",2539,40.439585,42.42,1020.3,0,2.07,21.35,29.49,15000
"23847","23847 Lasbek",10322,128.227611,42.42,1020.3,0,2.07,21.35,29.49,15000
"21521","21521 Aumühle",8715,75.678272,0,0,0,NA,NA,28.11,0
"25840","25840 Friedrichstadt, Koldenbüttel u.a.",3566,39.068578,47.32,1576.88,0,9.66,14.51,58.27,2485
"25813","25813 Husum, Schwesing u.a.",24119,90.426342,45.51,1779.43,0,5.53,18.94,47.15,22053
"25832","25832 Tönning",5206,52.752863,45.78,1115.7,0,1.02,17.84,64.11,4887
"25980","25980 Sylt",13840,63.973886,47.84,811.26,0,-0.67,19.12,90.76,13424
"25870","25870 Oldenswort",1353,50.196914,47.63,565.08,0,4,18.6,72.08,11004
"25882","25882 Tetenbüll",648,36.616003,47.63,565.08,0,4,18.6,72.08,11004
"25826","25826 Sankt Peter-Ording",3932,44.60233,47.63,565.08,0,4,18.6,72.08,11004
"25836","25836 Garding, Osterhever, Poppenbüll u.a.",4051,75.546437,47.63,565.08,0,4,18.6,72.08,11004
"25881","25881 Tating, Westerhever, Tümlauer Koog",1201,52.650928,47.63,565.08,0,4,18.6,72.08,11004
"25996","25996 Wenningstedt-Braderup (Sylt)",1392,6.406712,46.75,531.93,0,-8.11,19.05,104.69,4314
"25997","25997 Hörnum (Sylt)",904,7.008869,46.75,531.93,0,-8.11,19.05,104.69,4314
"25999","25999 Kampen (Sylt)",501,6.800106,46.75,531.93,0,-8.11,19.05,104.69,4314
"25992","25992 List",1575,23.560223,46.75,531.93,0,-8.11,19.05,104.69,4314
"25850","25850 Behrendorf, Bondelum",780,24.495353,40.67,601.25,0,-4.08,18.44,33.44,9074
"25855","25855 Haselund",912,12.767252,40.67,601.25,0,-4.08,18.44,33.44,9074
"25864","25864 Löwenstedt",655,19.719134,40.67,601.25,0,-4.08,18.44,33.44,9074
"25885","25885 Wester-Ohrstedt",3094,61.440665,40.67,601.25,0,-4.08,18.44,33.44,9074
"25884","25884 Viöl",2757,43.567225,40.67,601.25,0,-4.08,18.44,33.44,9074
"25863","25863 Langeneß",112,10.166512,49.04,428.57,0,-12.79,16.05,126.44,1407
"25859","25859 Hallig Hooge",114,5.76825,49.04,428.57,0,-12.79,16.05,126.44,1407
"25867","25867 Oland",21,1.936292,49.04,428.57,0,-12.79,16.05,126.44,1407
"25849","25849 Süderoog, Pellworm",1232,37.959636,49.04,428.57,0,-12.79,16.05,126.44,1407
"25869","25869 Habel, Gröde",14,2.067121,49.04,428.57,0,-12.79,16.05,126.44,1407
"25946","25946 Amrum",2316,28.697944,46.15,772.87,0,2.83,17.33,116.64,10607
