Kennziffer,Raumeinheit,Aggregat,Gästeübernachtungen in Beherbergungsbetrieben 2013,Kinos 2017,Öffentliche Bäder 2017
05914,"Hagen, Stadt der FernUniversität",Kreise,1.4,2.0,11.0
05915,"Hamm, Stadt",Kreise,0.8,1.0,17.0
05916,"Herne, Stadt",Kreise,0.4,1.0,9.0
05954,Ennepe-Ruhr-Kreis,Kreise,1.6,6.0,34.0
05958,Hochsauerlandkreis,Kreise,13.9,6.0,39.0
05962,Märkischer Kreis,Kreise,1.0,6.0,39.0
05966,Olpe,Kreise,4.0,2.0,18.0
05970,Siegen-Wittgenstein,Kreise,3.0,5.0,32.0
05974,Soest,Kreise,5.3,4.0,29.0
05978,Unna,Kreise,1.0,3.0,31.0
06411,"Darmstadt, Wissenschaftsstadt",Kreise,4.0,5.0,12.0
06412,"Frankfurt am Main, Stadt",Kreise,10.7,14.0,19.0
06413,"Offenbach am Main, Stadt",Kreise,3.3,2.0,3.0
06414,"Wiesbaden, Landeshauptstadt",Kreise,4.1,7.0,10.0
06431,Bergstraße,Kreise,2.7,4.0,17.0
06432,Darmstadt-Dieburg,Kreise,1.9,1.0,20.0
06433,Groß-Gerau,Kreise,4.1,2.0,20.0
06434,Hochtaunuskreis,Kreise,5.7,1.0,13.0
06435,Main-Kinzig-Kreis,Kreise,3.4,4.0,34.0
06436,Main-Taunus-Kreis,Kreise,3.2,5.0,10.0
06437,Odenwaldkreis,Kreise,4.5,0.0,22.0
06438,Offenbach,Kreise,2.6,4.0,20.0
06439,Rheingau-Taunus-Kreis,Kreise,6.7,3.0,12.0
06440,Wetteraukreis,Kreise,3.8,8.0,16.0
06531,Gießen,Kreise,1.7,4.0,24.0
06532,Lahn-Dill-Kreis,Kreise,1.8,2.0,27.0
06533,Limburg-Weilburg,Kreise,3.3,3.0,20.0
06534,Marburg-Biedenkopf,Kreise,2.6,4.0,27.0
06535,Vogelsbergkreis,Kreise,4.5,2.0,19.0
06611,"Kassel, documenta-Stadt",Kreise,4.3,3.0,9.0
06631,Fulda,Kreise,7.1,2.0,21.0
06632,Hersfeld-Rotenburg,Kreise,9.7,2.0,18.0
06633,Kassel,Kreise,3.1,1.0,32.0
06634,Schwalm-Eder-Kreis,Kreise,3.4,3.0,35.0
06635,Waldeck-Frankenberg,Kreise,20.4,2.0,34.0
